,read_name,avg_match,ref_start_primary,ref_start_secondary,ref_name_primary,ref_name_secondary,is_reverse_primary,is_reverse_secondary
419,a3a13cdc-e408-4698-a72d-f2b094854901,8998.5,47587,45545,EM11,EM60,False,False
420,6235fd6d-a1c0-4d64-a433-4cfa22f42eb9,8997.0,48861,45672,EM11,EM60,False,False
421,3d353a9d-bbec-44c5-b9e0-fc4ad667b7dc,8988.5,52430,49255,EM11,EM60,False,False
422,4069c6ff-cbb3-4c13-9738-a6f499e2f060,8987.0,42343,45764,EM60,EM11,False,False
423,e66170ec-ec74-44bc-bf86-eb6b103e45b6,8983.5,55254,45028,EM11,EM60,False,False
424,d2efc69e-2d4b-4c3d-8e71-9363425e8f47,8979.0,51638,48450,EM11,EM60,False,False
425,ff269408-4b10-4168-83ab-521ff6bb1cae,8974.0,47928,64977,EM11,EM60,True,True
426,7b126a18-919e-424c-933e-a051371b8a59,8973.0,42142,39204,EM11,EM60,False,False
427,2f1c045c-9dc9-41a9-b092-32098ed8ba61,8972.5,48450,45483,EM11,EM60,True,True
428,774863fa-0860-4e45-8f11-9795c09887cf,8969.5,44139,40950,EM11,EM60,True,True
429,211325ee-a663-4cfb-884f-9dc37eb9d9cc,8964.5,47159,43970,EM11,EM60,True,True
430,87867997-6c7f-40ad-9c6e-2169a9422808,8963.0,43812,40623,EM11,EM60,True,True
431,08f66739-4791-4663-a9be-860410384d16,8956.5,42145,38814,EM11,EM60,True,True
432,3abde6bc-3b03-4792-95aa-8a2ee3027430,8955.0,46314,43125,EM11,EM60,False,False
433,33273381-c610-4a91-9a62-edaa4445e360,8953.0,42143,38954,EM11,EM60,True,True
434,712a649d-d397-4f26-ba5f-114672466ee8,8947.5,47108,45027,EM11,EM60,False,False
435,e42cf3c3-1855-445b-b269-c5ef27c41faa,8943.0,48745,45556,EM11,EM60,True,True
436,396ed12c-dffb-4ce6-b19c-422578d489e6,8942.5,33913,49636,EM11,EM60,True,True
437,73e0f4a9-4350-4abb-b76c-29fca654eba0,8936.0,52346,49158,EM11,EM60,False,False
438,55f14146-8e3f-45b3-8c98-2310fb9fe67b,8935.5,46069,42931,EM11,EM60,False,False
439,aec19c97-076e-4411-94c2-6d499749ef28,8930.0,47210,44021,EM11,EM60,False,False
440,7e7a7a84-8f90-430b-89fc-01e054033b74,8927.0,78290,75123,EM11,EM60,True,True
441,30a6ac8d-75d0-464c-95f6-6bc8a0c2e870,8924.5,76609,73587,EM11,EM60,True,True
442,f99460c7-cf1c-45b2-820b-da4606435729,8922.5,48810,45621,EM11,EM60,False,False
443,5420cba8-3460-49b7-96fc-0d7e8da24207,8922.0,47572,44383,EM11,EM60,False,False
444,ec8f4638-9262-4b7f-9d06-13a36ec2ebb0,8922.0,48159,45019,EM11,EM60,True,True
445,e2dee371-bb04-46f3-9035-f7a28eeae4ac,8919.5,48423,45234,EM11,EM60,False,False
446,39010f52-a369-4b91-9afe-26cf869fdf85,8918.0,45097,41999,EM11,EM60,True,True
447,cb232c42-b820-42a6-8c89-59bdbc4050db,8908.5,48980,45791,EM11,EM60,False,False
448,7e1856a0-a9ab-46a8-ab4f-126ee8d4a066,8908.0,46127,42938,EM11,EM60,False,False
449,523fc2e2-64aa-489c-91ff-e4d4961b2e7f,8908.0,53826,42377,EM11,EM60,False,False
450,9e84fdef-8b62-4ef4-b224-543a378c3a24,8903.5,48732,45543,EM11,EM60,True,True
451,61afe8ab-8f39-4076-a54c-064ca3a16e8a,8899.0,48170,45010,EM11,EM60,False,False
452,c333d7de-cba2-4d32-a1c1-f8231125cfab,8899.0,75143,73194,EM11,EM60,False,False
453,b54224c6-25c9-4094-b3ed-0f37420421e1,8895.5,48392,39913,EM11,EM60,True,True
454,75290006-0910-4a51-9aee-117d2c141280,8889.5,57616,45658,EM11,EM60,False,False
455,833e4248-b83b-4ed7-bf70-04a9acc72c60,8879.0,42143,38954,EM11,EM60,False,False
456,2341f99d-7835-4be6-b280-5dbfc5025fcd,8874.5,48861,45672,EM11,EM60,False,False
457,7cf2a29d-2a9b-4e21-ac4f-4442b9879890,8861.5,76648,73481,EM11,EM60,False,False
458,97b503dc-fffd-4407-ad6b-831b1ea85e29,8858.0,52465,49277,EM11,EM60,False,False
459,8611a5f2-9420-4e06-9093-c7065daa3c48,8852.0,47159,43970,EM11,EM60,True,True
460,f85e8c64-3ed9-4424-a80d-bf5ac75b5faf,8851.0,78357,75190,EM11,EM60,True,True
461,9961ef42-196a-4d84-bb8f-92cf2d639a13,8844.0,37192,42924,EM11,EM60,True,True
462,27ac803e-4d3a-4970-98ef-003cff167deb,8836.0,42218,39029,EM11,EM60,True,True
463,9720e89c-7e90-4f4a-b239-6c32a1fb62e9,8830.5,54142,46053,EM11,EM60,True,True
464,6b1c7674-dd68-4aef-b32f-8cbf73a0f22b,8824.0,49185,45996,EM11,EM60,False,False
465,6e810705-0502-411f-a268-9dd1ee435dfe,8823.5,46662,44839,EM11,EM60,False,False
466,de8f8286-f279-489e-ab3f-6f11e895a1d0,8820.0,48730,45541,EM11,EM60,True,True
467,aa343915-cba5-4f6b-b125-6567e4e1f625,8820.0,77448,74299,EM11,EM60,True,True
468,03d3b0e4-def9-46bb-9a96-5fcd1f2eb4fb,8819.0,46667,43478,EM11,EM60,False,False
469,1370e6b9-1cf1-481c-bb62-845aa088cfd9,8816.0,47673,44484,EM11,EM60,True,True
470,a6f4c4ce-c2b9-4419-b9bd-ab46f6347d48,8815.0,48511,61060,EM11,EM60,False,False
471,0dfa4df3-88ae-489e-b332-76ab808a2755,8814.0,79083,75916,EM11,EM60,True,True
472,df5af644-06bb-49a9-8e4a-0451146fbedb,8806.0,49458,46269,EM11,EM60,True,True
473,5890107d-4765-4924-9838-ce68625a6c89,8804.0,42142,38953,EM11,EM60,True,True
474,faaa7f7b-10a8-4faf-b997-f99b64cc42f3,8802.0,46774,43585,EM11,EM60,True,True
475,fe0ebaf3-8b02-43a3-a9bc-9e6cf976710c,8801.5,27779,39002,EM11,EM60,False,False
476,dbef7c51-ecb3-4c72-8ce9-07648b981677,8797.0,42144,37905,EM11,EM60,True,True
477,8bfd91ae-4f3e-4c92-bc38-b4df9405f106,8776.0,42142,58544,EM11,EM60,False,False
478,97df7d32-3092-4b18-aa7d-c9f4a2452ac7,8772.5,79356,76189,EM11,EM60,True,True
