,read_name,avg_match,ref_start_primary,ref_start_secondary,ref_name_primary,ref_name_secondary,is_reverse_primary,is_reverse_secondary
82,aa7c8169-27fd-48f6-be16-252126329852,6248.0,54140,50952,EM11,EM60,True,True
83,a7e5fd43-dcbe-4aa2-b4b1-3c781fef7d45,6211.0,81597,78430,EM11,EM60,True,True
84,60bdbdc3-4cee-4932-8f06-dc5debee46bc,6210.0,43264,40075,EM11,EM60,True,True
85,12c151ec-d425-4e1d-9f9d-0cf80cab0873,6185.0,51438,48250,EM11,EM60,False,False
86,ce59bf19-3f0a-45ec-a547-acf183a4eafe,6184.5,46129,42940,EM11,EM60,False,False
87,dd4d3109-5fe3-4a27-8252-047e9c9769e2,6168.5,77451,74299,EM11,EM60,False,False
88,ffbd4fc1-680c-4c5b-9e51-dca2b21c085a,6153.0,50070,46881,EM11,EM60,False,False
89,6dcc0df0-7bd8-439b-8586-02502d8a6db2,6144.5,81266,78099,EM11,EM60,True,True
90,459ac15d-feba-46ac-a7a8-84a1c64121d9,6088.0,43508,40319,EM11,EM60,True,True
91,127f43ed-985e-470e-9d08-2a98ca8f9a2d,6088.0,47406,44217,EM11,EM60,False,False
92,7e39c7e4-fa57-4296-9862-f6d472290078,6085.0,44018,40829,EM11,EM60,True,True
93,928635cd-743c-42bd-b9a0-d95cf3f5d6dd,6074.5,43142,39953,EM11,EM60,False,False
94,d1bb13f3-6799-450a-b056-5e68031ba0e3,6070.0,78278,75111,EM11,EM60,True,True
95,53b09372-6513-499b-93d6-e37e555ffca4,6056.0,59746,49412,EM11,EM60,False,False
96,2b1e74a5-96ac-48cc-8891-958b5954edb7,6050.0,58072,49006,EM11,EM60,True,True
97,a0b653db-4d70-4b00-84f3-fe3b7d8804aa,6037.0,48394,45205,EM11,EM60,True,True
98,4597ff81-ad11-4b3c-991c-eebac98a7757,6028.0,77874,74707,EM11,EM60,False,False
99,aa995111-a56e-4358-8529-1628bd3b38fb,5991.0,50282,47093,EM11,EM60,False,False
